,Angle
823,-0.027514534599859464
824,-0.006863699507315771
825,0.015737379803919392
826,0.03551956591903987
827,0.03551956591903987
828,0.06125490549923167
829,0.08212825121895252
830,0.1075633850319479
831,0.12680320924049204
832,0.1469138152038425
833,0.16987893069564405
834,0.18793603977371173
835,0.20522169879726715
836,0.22533298532348192
837,0.24095149449683673
838,0.25522889917506664
839,0.26873839471430055
840,0.2834430561458871
841,0.29445509997527963
842,0.3043451548099596
843,0.313390867449591
844,0.32059316366369084
845,0.327945993907771
846,0.33203234006134197
847,0.3347665693346228
848,0.3347665693346228
849,0.336546528532674
850,0.33674888876904147
851,0.3365956452292379
852,0.33610003316778236
853,0.33497889966720085
854,0.33244829012759114
855,0.32871073344148033
856,0.3223157074707787
857,0.3115565025332681
858,0.3003348302939297
859,0.28544237027828634
860,0.27161542657616017
861,0.25686085703726746
862,0.25686085703726746
863,0.24116911757628132
864,0.22115130301941244
865,0.20313815539199206
866,0.1845833120635921
867,0.16146330030329725
868,0.14153960150824318
869,0.12124980612821548
870,0.09737120189451598
871,0.07489913177065803
872,0.04967013014121116
873,0.028421467388961896
874,0.0034599340171846057
875,-0.018032667522012564
876,-0.038451551036987115
877,-0.06363570634059042
878,-0.06363570634059042
879,-0.08390009138158405
880,-0.10326024113357697
881,-0.12087374486982579
882,-0.1441439595097468
883,-0.16419848028672218
884,-0.18637172632057045
885,-0.204914899150696
886,-0.22290700181350057
887,-0.23799040347170833
888,-0.25807900804248474
889,-0.27335630080151924
890,-0.28650243915123197
891,-0.2999512765696404
892,-0.30927514030991193
893,-0.30927514030991193
894,-0.3192590846957712
895,-0.3269710449243024
896,-0.33339190007813596
897,-0.33835046817971864
898,-0.3408448962694906
899,-0.341809671647577
900,-0.3418414726084092
901,-0.3416984859703763
902,-0.34120100069779863
903,-0.3397922468116638
904,-0.3375191878793609
905,-0.33183121796849907
906,-0.3240933251050482
907,-0.3143346495542674
908,-0.30118425990167014
909,-0.28854234367565834
910,-0.27369817836112525
911,-0.25662047304176083
912,-0.25662047304176083
913,-0.23493649893779392
914,-0.219065919872361
915,-0.19489830744181152
916,-0.1766844441772324
917,-0.15176440968581692
918,-0.1323192488598028
919,-0.1130795389153659
920,-0.09466245648251019
921,-0.07044256356189749
922,-0.04846595708253453
923,-0.028305134939076066
924,-0.0032400444634764153
925,0.01869287694217968
926,0.03931251122232182
927,0.06484188016285124
928,0.06484188016285124
929,0.08610800053477359
930,0.10707524975539207
931,0.1264358623161096
932,0.1506017261693094
933,0.1697711528415502
934,0.19125105773686196
935,0.20863605126292473
936,0.22517070276468482
937,0.24079032394398664
938,0.25807073570013145
939,0.27134419305799085
940,0.2837670138700999
941,0.29447527570516585
942,0.306105121672093
943,0.3150017446809975
944,0.3150017446809975
945,0.3232203930636814
946,0.32895002312825794
947,0.333229657293621
948,0.3355117093652792
949,0.33668476914044115
950,0.33668592787429713
951,0.33646172871572094
952,0.335679061833629
953,0.3341839902770833
954,0.3318252111655849
955,0.32637072962266633
956,0.3188831252873039
957,0.3091212426966247
958,0.3091212426966247
959,0.29528322343501506
960,0.2827275076375568
961,0.26567284516180956
962,0.2503630058061095
963,0.23441046588673142
964,0.2136873568245332
965,0.19540527611813685
966,0.17691750247118201
967,0.15363190525868964
968,0.13341217465803723
969,0.11328785550561789
970,0.08815906157432116
971,0.06644845218099495
972,0.04489350567777113
973,0.02032150648410207
974,0.02032150648410207
